Dataset,MLHAT,KNN,NB,AMR,HT,HAT,EFDT,SGT,MT,ARF,AMF,ABALR,ABOLR,MLBELS,MLHT,MLHTPS,iSOUPT
Yelp,0.8414720566288552,0.6644311301532089,0.5540880702614412,0.7525286794067604,0.5759020454788695,0.6292945628450388,0.7035158047839793,0.4555375207306538,0.6074669861698032,0.8578290315394497,0.8046421251291346,0.8190266417354155,0.8265402295549491,0.6420781149480589,0.536757343857756,0.5267406230030074,0.8014037674450598
Medical,0.6258307827272453,0.2405489156635649,0.011055832047212711,0.09669197991410236,0.14276671784271322,0.145042400838087,0.2530137330700337,0.06192932549760473,0.17140218151861158,0.12133595720157767,0.28333279092288205,0.07884850993921944,0.05498659493247544,0.8047274068014878,0.005997945772279398,0.0055279160236063555,0.05772423180253639
Eukaryote,0.836954717811309,0.5010745225243367,0.0977618673131198,0.8348634309231953,0.305267145410131,0.3926081315604249,0.3796028105052053,0.03534862198026574,0.38838819177192174,0.5234021604660424,0.5792913641555025,0.8100464353726,0.806431452660425,0.47050933569262976,0.06113722385797667,0.10265990581244233,0.7334098298541707
Slashdot,0.5846237170846658,0.12213627122500459,0.0,0.0678423049502117,0.2960432564493565,0.3002928658627434,0.29862470690236803,0.1048717674227699,0.09004932638223614,0.3187537714084447,0.2202784886306921,0.1325935658371002,0.07484184194844057,0.4791941178158464,0.059998921276260164,0.05641685391930766,0.08230882525668565
Enron,0.2807187178761782,0.3482546622664736,0.07963901667231088,0.15293719240972017,0.061259743717109336,0.06459182714962941,0.10472943352020145,0.05089553915255496,0.10307568094882483,0.17541858588457476,0.15476898638051034,0.13624872447777836,0.15586347437856174,0.6998517731175942,0.05409499020725575,0.04886010969046625,0.13950603681848375
Hypercube,0.9921854941611294,0.9937938532961272,0.9580597317238853,0.9811778926259718,0.9143606686038999,0.9569507231716472,0.9418640598922047,0.037299838715290135,0.9946818777062474,0.9933925892991213,0.9947472179837,0.9886714317007723,0.9891182645897594,0.9877641068390457,0.8273638846184082,0.8601683827752533,0.9561115813485307
Langlog,0.17254980751822677,0.07157431867567404,0.0,0.07383266176401249,0.0,0.0,0.030076159324692257,0.017669806725734635,0.0225696911923041,0.02842928396330325,0.01903182370404129,0.05007232438166205,0.06223315060482379,0.42834006524790263,0.001495789028726212,0.0249268706724071,0.055603813987178154
Stackex,0.2320836306142448,0.07612926752334868,0.002196186656800661,0.04272958756021125,0.004762743889127555,0.01024536162273954,0.04257291269696234,0.01529292681995782,0.024645376927899313,0.03101834571741386,0.04319923895690607,0.04441877515947139,0.04151085683688816,0.7434421561863832,0.0018396317225376005,0.0,0.022782143085352594
Tmc,0.5605231400801778,0.5369080800732768,0.0623424670654559,0.7043335195512768,0.4922781342564744,0.5031258884182533,0.387904485800925,0.26453209210609757,0.36441075715988613,0.771421931471624,0.4981013573134855,0.7499387186144082,0.740874234569532,0.7565617963021105,0.046613203762705904,0.42312526059369604,0.6265241298466164
Ohsumed,0.4076628474180477,0.12955635782298797,0.22005870886308326,0.33066342941018,0.4283716224580022,0.4175892360189609,0.3599174246542545,0.19076067111581707,0.14306225976606374,0.40116519426630176,0.12815553647683028,0.5221280949442441,0.5834537785734379,0.3196457416440523,0.01512105159229716,0.2658107488128498,0.4079549931336433
D20ng,0.684704909405293,0.5110804437160805,0.05804311860258451,0.6840398641784458,0.5894780125824706,0.5717617616836369,0.5170013820789838,0.2483608302432243,0.35882365983975667,0.7517906499106048,0.5012033008949673,0.8685371963141637,0.8791295126483227,0.5307941551491661,0.1358576634939802,0.3712306836578728,0.8652847941870578
Mediamill,0.4707906352671505,0.42451172706132567,0.06205467039393811,0.16909030322201385,0.18732350083538024,0.19181310117233957,0.17500636697027816,0.04976861008669917,0.2607911823425585,0.4788723612977607,0.4188479365844822,0.20182554120006158,0.20637163162836653,0.5628655726691947,0.028353888869658568,0.07524543969121825,0.14486223610326815
Corel5k,0.6377181358551312,0.06759877638982524,0.0058453745951899515,0.012833790050057846,0.044642005564638494,0.06141060865942932,0.05068040576753312,0.013547728253925138,0.11275930327074964,0.1254479664142241,0.1543629030368735,0.00523640626760442,0.010965648959334155,0.7539919341583715,0.00628756138222312,0.004675707727689526,0.00762543839172335
Bibtex,0.3235162360788635,0.09283442881067071,0.0,0.13153499021089377,0.1574943000973471,0.14535925310148817,0.12242161300951201,0.038861886882538714,0.0585343404131764,0.07178829619981855,0.06570663477672026,0.11404626319570615,0.11793001548642845,0.5766993486077583,0.0012451159349611144,0.02062598946924024,0.11514579103694395
Nuswidec,0.4838997667141488,0.4358323413199729,0.13275913038700354,0.1635984009300639,0.13635862064629534,0.19272398382352518,0.10739290066636442,0.0,0.08907117058297208,0.4391891238593071,0.0,0.11333348109319216,0.10151676787425841,0.0,0.041072048995392366,0.1309688771240377,0.051243235830396375
Imdb,0.16906985179253245,0.21766211321818027,0.09154449593776022,0.1756938890249352,0.1036172970163246,0.10819496777205778,0.10904201339639262,0.062191684090223784,0.1518887583462667,0.30811618845496447,0.0,0.2536291628909452,0.2726536845145143,0.359749409673058,0.1220479833066245,0.08182223906164834,0.21641537231302882
Nuswideb,0.5336719287593745,0.3938990676203319,0.04401419265584737,0.11786715528814679,0.10791851118931628,0.16638705571598295,0.10568011018413054,0.0,0.0,0.4454216892578944,0.0,0.10760036157969283,0.09513231477172229,0.0,0.059972662599688364,0.0908723533496445,0.0386435659341696
YahooSociety,0.28783691502428377,0.15506063020782718,0.01825708957811422,0.2961835403762894,0.28124739901279694,0.22368413776889084,0.20571330776559155,0.0,0.07436425663332816,0.21910486637035287,0.0,0.4247186188733791,0.38111158617949026,0.6235854330317678,0.018266345883742777,0.01808564259467637,0.29997462891650684
Eurlex,0.34600750088505466,0.29903902051070974,0.014295846306790535,0.2543831638445919,0.12923228920777494,0.14069806843262153,0.08563175279997919,0.0364691783236152,0.09272648221502533,0.2679355637009762,0.0,0.3425473550494321,0.311184582342527,0.0,0.011864982987813175,0.015855062220865388,0.26853534138118884
SynTreeSud,0.31827308777953983,0.32786630113572934,0.2687284653202584,0.3835160620346167,0.32273809781783513,0.3429909133393225,0.3288593290916534,0.23438085952148807,0.2963346309117453,0.34115400182263456,0.24403846182237748,0.49512643580308285,0.3767347987318095,0.309657246587757,0.663437862946896,0.67738445842405,0.4753646177867462
SynRBFSud,0.3520124348874382,0.6638491500800854,0.16852120376638763,0.7786202558809978,0.6090347448787694,0.690956093671006,0.5191479442122406,0.09319330727629094,0.4938121165293106,0.982260897085014,0.9394984588007487,0.9273888139847815,0.8665159093127426,0.16644712769577605,0.417270862930633,0.30120168201622344,0.8766965131669249
SynHPSud,0.37686893750468287,0.3963988531253039,0.30892260122502746,0.4805277208168005,0.3965960539623714,0.4248120368185411,0.4140931360763697,0.284248960860613,0.22505834265998959,0.42428825646211066,0.28785213368443974,0.48477509022088966,0.5109217542644535,0.32229280350899264,0.45051085391635504,0.30192651461308173,0.4791892169698006
SynTreeGrad,0.3484130060725368,0.36123099280973703,0.3162537958440823,0.4127140061399045,0.365510802921061,0.3503842494737155,0.3619320382943526,0.2503634019421914,0.27067045726431294,0.37662260484214155,0.3084865313978139,0.42814626938493827,0.4230749275407761,0.32747339253062113,0.6772665957765072,0.6529850746268657,0.40020461460097195
SynRBFGrad,0.27272058076753414,0.528244119592,0.1572609911059381,0.7280788769518658,0.5450038778921216,0.6222331085034778,0.478727251441587,0.08930794472110862,0.28653948909364,0.9810561212397455,0.9075164155715794,0.647939072439046,0.5453344744172182,0.14299870820253502,0.5287306915933438,0.3933416788523466,0.867881053587279
SynHPGrad,0.34579834879062665,0.3604871612343379,0.30407089754317806,0.49592896625023425,0.4384796980028589,0.4262039056299298,0.39725597982550365,0.24813120328008204,0.18388751352223465,0.42851241629801573,0.237215298287705,0.49992012569120975,0.5041523040658202,0.31259365235651043,0.29686707604408624,0.4287974766758176,0.46884260375082515
SynTreeInc,0.3319333813085603,0.3468027150536818,0.3494115972348648,0.4546260302203443,0.38234041632587196,0.3998558574087613,0.36019434195055444,0.2522337494527589,0.2163985252220546,0.3686737914255932,0.2986578012691723,0.4371208074499612,0.4288300490032494,0.30864443041107353,0.6910434614374413,0.8533647551715109,0.40343134551535975
SynRBFInc,0.27700314902926926,0.5178476190145278,0.1738779353429736,0.809182713738253,0.5839269314447416,0.6240548722500384,0.4462622490860961,0.1129200916746271,0.39046529216060843,0.982576991098567,0.7975278244383566,0.8728740884191257,0.8561698190386293,0.13722186684849347,0.4917031343231854,0.3696486828207667,0.8571058263916191
SynHPInc,0.28904251472754533,0.28880705025871356,0.3315948959815205,0.3704911987945906,0.3406422179782617,0.36941899926434474,0.328583623480565,0.2306307657691442,0.25200235088294787,0.34577437687698287,0.2524579483534708,0.3811254334204666,0.4368086880813148,0.2617750726000097,0.4313189610549637,0.39080771356890764,0.5203955102354738
SynTreeRec,0.32779720198956386,0.34660337404822067,0.3413674102976705,0.35518054487921347,0.3384780318113041,0.3524156211585579,0.3580966850110101,0.23375584389609738,0.25602914512881875,0.4042001143065799,0.26004198318453176,0.6334865363075215,0.4858641094541183,0.30425107512678473,0.5442374249584812,0.8291873963515755,0.6026848254370305
SynRBFRec,0.29820256958718305,0.6398298434038687,0.14538378406170932,0.7495564386181858,0.7499662591467927,0.7431365258193977,0.5371206199160357,0.14343605555537148,0.5781016384527254,0.9801744059177084,0.9357475109787937,0.9267646133320839,0.8515281483713908,0.1332588133298364,0.5341902964844467,0.4711793999596203,0.8827510999748469
SynHPRec,0.38791594975684984,0.3749917672512219,0.4494277079751795,0.5827226252284778,0.39637962171078683,0.4180153919102835,0.38263004331398276,0.27673906560878836,0.24216813465030468,0.4675537299299305,0.40666573852223376,0.7371779367313567,0.7358810983112303,0.4529220976303572,0.7620318741648482,0.5386589147331571,0.7233957995050075
